volume,issue,entry_type,title,author,link,tags,pages,num_pages
132,5,Article,Equity’s Constitutional Source,Owen W. Gallogly,/article/equitys-constitutional-source,Constitutional Law • Federal Courts • Remedies,1213-1599,386.0
132,5,Article,Coordinated Rulemaking and Cooperative Federalism’s Administrative Law,Bridget A. Fahey,/article/coordinated-rulemaking,Administrative Law • Federalism,1213-1599,386.0
132,5,Feature,After the Law of Apolitical Economy: Reclaiming the Normative Stakes of Labor Unions,Diana S. Reddy,/feature/after-the-law-of-apolitical-economy,Labor and Employment Law,1213-1599,386.0
132,5,Note,"Reviving the Prophylactic VRA: Section 3, Purcell, and the New Vote Denial",David Herman,/note/reviving-the-prophylactic-vra,Election Law,1213-1599,386.0
132,5,Note,Statutory Structure,Russell C. Bogue,/note/statutory-structure,Statutory Interpretation,1213-1599,386.0
132,4,Article,The Fourth Amendment and General Law,Danielle D’Onfro & Daniel Epps,/article/the-fourth-amendment-and-general-law,Constitutional Law • Criminal Procedure,910-1212,302.0
132,4,Article,The Antibody Patent Paradox,Mark A. Lemley & Jacob S. Sherkow,/article/the-antibody-patent-paradox,Intellectual Property,910-1212,302.0
132,4,Feature,Sex Equality’s Irreconcilable Differences,Courtney Megan Cahill,/feature/sex-equalitys-irreconcilable-differences,Antidiscrimination Law • Gender and Sexual Orientation,910-1212,302.0
132,4,Note,"Protecting Transgender Youth After Bostock: Sex Classification, Sex Stereotypes,
and the Future of Equal Protection",Erik Fredericksen,/note/protecting-transgender-youth-after-bostock,Antidiscrimination Law • Gender and Sexual Orientation,910-1212,302.0
132,3,Article,General Citizenship Rights,Jud Campbell,/article/general-citizenship-rights,Constitutional Law • Legal History • Federalism,611-909,298.0
132,3,Article,The Perils and Promise of Public Nuisance,Leslie Kendrick,/article/the-perils-and-promise-of-public-nuisance,Torts,611-909,298.0
132,3,Note,Familial-Status Discrimination: A New Frontier in Fair Housing Act Litigation,Rubin Danberg Biggs & Patrick Holland,/note/familial-status-discrimination,Antidiscrimination Law • Housing Law,611-909,298.0
132,3,Note,Native Voting Power: Enhancing Tribal Sovereignty in Federal Elections,Noelle N. Wyman,/note/native-voting-power,Election Law • Federal Indian Law,611-909,298.0
132,2,Article,Interconstitutionalism,Jason Mazzone & Cem Tecimer,/article/interconstitutionalism,Constitutional Law,326-610,284.0
132,2,Article,"Barbarians Inside the Gates: Raiders, Activists, and the Risk of Mistargeting",Zohar Goshen & Reilly S. Steel,/article/barbarians-inside-the-gates,Corporate Law,326-610,284.0
132,2,Review,What We Ask of Law,Aziz Z. Huq,/review/what-we-ask-of-law,Legal History • Legal Philosophy,326-610,284.0
132,2,Note,The Neglected Port Preference Clause and the Jones Act,Sam Heavenrich,/note/the-neglected-port-preference-clause-and-the-jones-act,Constitutional Law,326-610,284.0
132,1,Article,The Administrative Agon: A Democratic Theory for a Conflictual Regulatory State,Daniel E. Walters,/article/the-administrative-agon,Administrative Law,1-325,324.0
